CLIENTNUM,Customer_Age,Gender,Marital_Status,Dependent_count,Education_Level,Income_Category,cluster,segment,profile_description,Card_Category,recommended_card,upgrade_flag,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Revolving_Bal
768805383,45,M,Married,3,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1144,42,0.061,777
818770008,49,F,Single,5,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1291,33,0.105,864
713982108,51,M,Married,3,Graduate,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1887,20,0.0,0
769911858,40,F,Unknown,4,High School,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1171,20,0.76,2517
709106358,40,M,Married,3,Uneducated,$60K - $80K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,816,28,0.0,0
713061558,44,M,Married,2,Graduate,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1088,24,0.311,1247
810347208,51,M,Married,4,Unknown,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Gold,Gold,False,1330,31,0.066,2264
818906208,32,M,Unknown,0,High School,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Silver,Silver,False,1538,36,0.048,1396
710930508,37,M,Single,3,Uneducated,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1350,24,0.113,2517
719661558,48,M,Single,2,Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1441,32,0.144,1677
708790833,42,M,Unknown,5,Uneducated,$120K +,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1201,42,0.217,1467
710821833,65,M,Married,1,Unknown,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1314,26,0.174,1587
710599683,56,M,Single,1,College,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1539,17,0.0,0
816082233,35,M,Unknown,3,Graduate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1311,33,0.195,1666
712396908,57,F,Married,2,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1570,29,0.279,680
714885258,44,M,Unknown,4,Unknown,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1348,27,0.23,972
709967358,48,M,Single,4,Post-Graduate,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1671,27,0.078,2362
753327333,41,M,Married,3,Unknown,$80K - $120K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1028,21,0.095,1291
806160108,61,M,Married,1,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1336,30,0.788,2517
709327383,45,F,Married,2,Graduate,Unknown,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1207,21,0.08,1157
806165208,47,M,Divorced,1,Doctorate,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1178,27,0.086,1800
784725333,41,M,Married,3,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,931,18,0.152,680
811604133,47,F,Single,4,Unknown,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1126,23,0.626,1560
789124683,54,M,Married,2,Unknown,$80K - $120K,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1110,21,0.0,0
771071958,41,F,Single,3,Graduate,Less than $40K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1051,22,0.215,1669
720466383,59,M,Unknown,1,High School,$40K - $60K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1197,23,0.093,1374
804424383,63,M,Married,1,Unknown,$60K - $80K,2,Shark,"Low spend, high utilization - credit reliant",Blue,Blue,False,1904,40,0.099,1010
718813833,44,F,Single,3,Uneducated,Unknown,0,Barnacle,"Low spend, low utilization - re-activation target",Blue,Blue,False,1052,18,0.0,0
